month,n_events,n_stocks,mean_spike_ratio,mean_ret_event5,mean_rv_event5,mean_event_volume_share
202401,61074,5099,51.54984978381082,-6.368474921130263e-05,5.7037948145574094e-05,0.026132698631171382
202402,76480,5104,58.28784287981427,0.0011681544292720934,0.00010882169955630695,0.024594985361777483
202403,107139,5108,42.41360300980066,0.00107242505566976,8.252994310814267e-05,0.030505615713174408
202404,102027,5112,53.635797713855474,0.0007878147136859998,7.25100239257479e-05,0.028242296320936607
202405,101761,5094,61.972531640595705,0.0007702681087179123,6.058728225191365e-05,0.03104317192446849
202406,96640,5096,91.336801590201,0.0005461980476894036,6.275874595792115e-05,0.02969466670435975
202407,116835,5095,73.43643702016622,0.0008703142162651448,6.491875881047511e-05,0.031207740801816965
202408,111733,5083,91.20343859730453,0.0005985294657118704,6.349304306109e-05,0.031675807135181366
202409,96369,5078,104.55181538811964,0.0009263744902648851,6.690715594063309e-05,0.03053849255305217
